Record_ID,Calling_Agents,Calling_Agents_Description
69,"%5BFBAN/FB4A;FBAV/256.0.0.39.117;FBBV/196542502;FBDM/%7Bdensity=3.0,width=1080,height=2180%7D;FBLC/en_GB;FBRV/0;FBCR/mobily;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A705FN;FBSV/9;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 256 on Samsung SM-A705FN
70,"%5BFBAN/FB4A;FBAV/257.0.0.44.118;FBBV/197851389;FBDM/%7Bdensity=2.0,width=720,height=1280%7D;FBLC/en_GB;FBRV/0;FBCR/Vodafone%20IN;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J500F;FBSV/6.0.1;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 257 on Samsung SM-J500F
71,"%5BFBAN/FB4A;FBAV/263.0.0.46.121;FBBV/205281674;FBDM/%7Bdensity=1.75,width=720,height=1396%7D;FBLC/en_GB;FBRV/207024646;FBCR/Airtel-Stay%20Home;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J415FN;FBSV/8.1.0;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 263 on Samsung SM-J415FN
72,"%5BFBAN/FB4A;FBAV/271.0.0.55.109;FBBV/215365652;FBDM/%7Bdensity=2.0,width=720,height=1192%7D;FBLC/bn_IN;FBRV/217238672;FBCR/Grameenphone;FBMF/HUAWEI;FBBD/HUAWEI;FBPN/com.facebook.katana;FBDV/MYA-U29;FBSV/6.0;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 271 on Huawei
73,"%5BFBAN/FB4A;FBAV/271.0.0.55.109;FBBV/215365668;FBDM/%7Bdensity=1.75,width=720,height=1280%7D;FBLC/en_GB;FBRV/217238672;FBCR/Jio%204G;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J400F;FBSV/10;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 271 on Samsung SM-J400F
74,"%5BFBAN/FB4A;FBAV/272.0.0.50.125;FBBV/216845463;FBDM/%7Bdensity=1.5,width=540,height=960%7D;FBLC/en_GB;FBRV/218418231;FBCR/Jio%204G;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G532G;FBSV/6.0.1;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 272 on Samsung Galaxy J2 Prime (SM-G532G)
75,"%5BFBAN/FB4A;FBAV/274.0.0.46.119;FBBV/219237435;FBDM/%7Bdensity=1.5,width=540,height=960%7D;FBLC/en_GB;FBRV/222058974;FBCR/Robi;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-J250F;FBSV/7.1.1;FBOP/19;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 274 on Samsung SM-J250F
76,"%5BFBAN/FB4A;FBAV/276.0.0.44.127;FBBV/225129353;FBDM/%7Bdensity=1.875,width=720,height=1475%7D;FBLC/en_US;FBRV/228899333;FBCR/Jio%204G;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/V2033;FBSV/11;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 276 on Vivo
77,"%5BFBAN/FB4A;FBAV/280.0.0.48.122;FBBV/233235247;FBDM/%7Bdensity=2.0,width=720,height=1370%7D;FBLC/en_Qaau_GB;FBRV/236897447;FBCR/Airtel;FBMF/Realme;FBBD/Realme;FBPN/com.facebook.katana;FBDV/RMX1825;FBSV/9;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 280
78,"%5BFBAN/FB4A;FBAV/280.0.0.48.122;FBBV/233235247;FBDM/%7Bdensity=2.0,width=720,height=1378%7D;FBLC/en_US;FBRV/236897447;FBCR/Vi%20India;FBMF/Realme;FBBD/Realme;FBPN/com.facebook.katana;FBDV/RMX1825;FBSV/10;FBOP/1;FBCA/armeabi-v7a:armeabi;%5D",Facebook App 280
